,name,xcoord,ycoord,distance_to_source,resolution_unit,resolution_multiplier,type,resolution,station_longitude,station_latitude,receiver,distance,segment
1,L10_077,194447,204051,0,minutes,15,Tw,15M 0S,NA,NA,rel_grotenete1,0,gn
2,rup02e_SF_1066,149826,196913,69062,minutes,5,Tw,5M 0S,NA,NA,NA,69062,rup
3,zes28a_SF_1066,147297,203698,78917,minutes,10,Tw,10M 0S,NA,NA,NA,62787,zes_down
4,zes24a_SF_1066,147064,207267,82489,minutes,10,Tw,10M 0S,NA,NA,NA,66359,zes_down
5,zes19a_SF_B_1066,150126,214116,93544,minutes,5,Tw,5M 0S,NA,NA,NA,77414,zes_down
6,zes09x_SF_1066,144218,220763,105456,minutes,5,Tw,5M 0S,NA,NA,NA,89326,zes_down
7,zes01a_SF_1066,140885,226514,112870,minutes,10,Tw,10M 0S,NA,NA,NA,96740,zes_down
8,L10_077,194447,204051,0,minutes,15,Q,15M 0S,NA,NA,rel_grotenete1,0,gn
9,gnt07a_1066,190448,198119,9419,minutes,15,Q,15M 0S,NA,NA,NA,9419,gn
10,gnt05a_1066,179375,194717,23468,minutes,5,Q,5M 0S,NA,NA,NA,23468,gn
11,rup00a_1066,145772,200610,75324,day,1,Q,1d 0H 0M 0S,NA,NA,NA,75324,rup
12,zes29f_1066,146167,201898,76719,day,1,Q,1d 0H 0M 0S,NA,NA,NA,60589,zes_down
13,zes00a_1066,141591,226803,112411,day,1,Q,1d 0H 0M 0S,NA,NA,NA,96281,zes_down
14,gnt07a_1066,190448,198119,9419,minutes,15,H,15M 0S,NA,NA,NA,9419,gn
15,gnt05a_1066,179375,194717,23468,minutes,5,H,5M 0S,NA,NA,NA,23468,gn
16,BS_RUP_1095,149402,197144,69537,minutes,5,H,5M 0S,NA,NA,NA,69537,rup
17,zes28a_1066,147293,203698,78917,minutes,10,H,10M 0S,NA,NA,NA,62787,zes_down
18,zes01a_1066,140884,226513,112870,minutes,10,H,10M 0S,NA,NA,NA,96740,zes_down
19,L10_077,194447,204051,0,minutes,15,V,15M 0S,NA,NA,rel_grotenete1,0,gn
20,gnt07a_1066,190448,198119,9419,minutes,15,V,15M 0S,NA,NA,NA,9419,gn
21,gnt05a_1066,179375,194717,23468,minutes,5,V,5M 0S,NA,NA,NA,23468,gn
22,BS_RUP_1095,149402,197144,69537,day,1,V,1d 0H 0M 0S,NA,NA,NA,69537,rup
23,zes28a_1066,147293,203698,78917,day,1,V,1d 0H 0M 0S,NA,NA,NA,62787,zes_down
24,zes01a_1066,140884,226513,112870,day,1,V,1d 0H 0M 0S,NA,NA,NA,96740,zes_down
25,photoperiod,NA,NA,NA,day,1,photoperiod,1d 0H 0M 0S,NA,NA,NA,NA,NA
26,ALMC_30BO01008,NA,NA,NA,minutes,15,R,15M 0S,4.516469435,51.02705202,NA,NA,NA
27,ALMC_30KP01011,NA,NA,NA,minutes,15,R,15M 0S,4.486176075,51.34773315,NA,NA,NA
28,ALMC_30MA12001,NA,NA,NA,minutes,15,R,15M 0S,5.631112995,50.98015614,NA,NA,NA
29,ALMC_30RT01007,NA,NA,NA,minutes,15,R,15M 0S,5.053303291,51.23085756,NA,NA,NA
30,ALMC_30TE01007,NA,NA,NA,minutes,15,R,15M 0S,4.887652062,50.94260476,NA,NA,NA
31,P03_036,NA,NA,NA,minutes,15,R,15M 0S,4.036753801,51.19762019,NA,NA,NA
32,P04_001,NA,NA,NA,minutes,15,R,15M 0S,4.268028432,51.24407181,NA,NA,NA
33,P04_027,NA,NA,NA,minutes,15,R,15M 0S,4.376359219,51.14658887,NA,NA,NA
34,P07_006,NA,NA,NA,minutes,15,R,15M 0S,4.094898384,50.88663188,NA,NA,NA
35,P07_022,NA,NA,NA,minutes,15,R,15M 0S,4.092620887,51.00599561,NA,NA,NA
